Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Total,Spread
2015,BRK,58,2015-03-02,1,GSW,W,110,108,44,89,0.494,10,21,0.476,12,16,0.75,11,38,20,7,1,13,12,42,90,0.467,11,30,0.367,13,18,0.722,17,50,26,11,7,15,20,218,2
2015,BRK,59,2015-03-04,1,CHO,L,91,115,35,88,0.398,3,16,0.188,18,24,0.75,12,38,15,6,1,9,24,42,85,0.494,8,19,0.421,23,28,0.821,12,49,24,5,2,13,20,206,-24
2015,BRK,60,2015-03-06,1,PHO,L,100,108,34,97,0.351,8,22,0.364,24,29,0.828,18,57,21,5,1,20,29,39,91,0.429,3,26,0.115,27,35,0.771,12,51,19,13,2,15,24,208,-8
2015,BRK,61,2015-03-08,1,UTA,L,88,95,38,76,0.5,8,15,0.533,4,11,0.364,7,30,21,9,2,14,16,34,72,0.472,10,22,0.455,17,21,0.81,12,43,24,6,4,18,12,183,-7
2015,BRK,62,2015-03-10,1,NOP,L,91,111,35,84,0.417,6,16,0.375,15,23,0.652,12,41,19,5,5,12,12,45,87,0.517,12,21,0.571,9,11,0.818,8,41,31,10,4,11,19,202,-20
2015,BRK,63,2015-03-11,0,MIA,L,98,104,32,73,0.438,6,17,0.353,28,39,0.718,14,44,15,8,2,21,24,37,81,0.457,6,21,0.286,24,38,0.632,11,39,23,14,3,11,29,202,-6
2015,BRK,64,2015-03-14,0,PHI,W,94,87,37,84,0.44,2,17,0.118,18,26,0.692,7,45,20,9,5,16,16,35,94,0.372,8,37,0.216,9,14,0.643,12,48,21,7,8,17,25,181,7
2015,BRK,65,2015-03-16,0,MIN,W,122,106,52,90,0.578,5,13,0.385,13,17,0.765,13,43,21,8,2,14,15,41,88,0.466,9,15,0.6,15,17,0.882,13,36,27,6,7,16,15,228,16
2015,BRK,66,2015-03-18,0,CLE,L,92,117,36,80,0.45,5,20,0.25,15,21,0.714,8,32,23,7,5,11,19,45,82,0.549,15,29,0.517,12,20,0.6,11,43,32,2,3,13,17,209,-25
2015,BRK,67,2015-03-20,1,MIL,W,129,127,46,107,0.43,11,25,0.44,26,34,0.765,16,53,31,9,7,15,25,49,129,0.38,8,16,0.5,21,29,0.724,38,81,23,11,9,18,31,256,2
2015,BRK,68,2015-03-21,0,IND,W,123,111,46,75,0.613,6,12,0.5,25,31,0.806,3,35,21,4,4,9,18,45,90,0.5,8,23,0.348,13,18,0.722,11,39,22,3,2,9,23,234,12
2015,BRK,69,2015-03-23,1,BOS,L,91,110,32,89,0.36,1,17,0.059,26,30,0.867,16,48,15,7,5,12,13,47,92,0.511,6,22,0.273,10,14,0.714,8,47,25,7,4,10,21,201,-19
2015,BRK,70,2015-03-25,0,CHO,W,91,88,39,91,0.429,3,14,0.214,10,11,0.909,5,46,28,6,8,9,18,36,91,0.396,3,12,0.25,13,20,0.65,10,51,23,4,7,12,17,179,3
2015,BRK,71,2015-03-27,1,CLE,W,106,98,40,86,0.465,9,23,0.391,17,19,0.895,10,46,21,6,1,15,18,37,81,0.457,8,30,0.267,16,20,0.8,6,40,17,10,4,17,19,204,8
2015,BRK,72,2015-03-29,1,LAL,W,107,99,42,87,0.483,8,28,0.286,15,21,0.714,6,43,29,11,6,8,9,42,91,0.462,6,18,0.333,9,11,0.818,9,43,25,7,4,11,14,206,8
2015,BRK,73,2015-03-31,1,IND,W,111,106,40,80,0.5,9,18,0.5,22,28,0.786,6,41,25,5,3,8,23,37,82,0.451,12,23,0.522,20,24,0.833,6,37,23,3,6,10,22,217,5
2015,BRK,74,2015-04-01,0,NYK,W,100,98,41,81,0.506,9,16,0.563,9,12,0.75,7,37,24,8,7,10,17,37,81,0.457,11,23,0.478,13,15,0.867,10,40,20,6,4,16,15,198,2
2015,BRK,75,2015-04-03,1,TOR,W,114,109,46,88,0.523,5,16,0.313,17,23,0.739,17,41,21,10,1,9,18,42,82,0.512,8,26,0.308,17,23,0.739,13,40,24,5,1,16,21,223,5
2015,BRK,76,2015-04-04,0,ATL,L,99,131,39,80,0.488,10,23,0.435,11,17,0.647,12,39,22,7,2,21,15,49,82,0.598,17,33,0.515,16,19,0.842,7,34,40,15,4,13,16,230,-32
